site,lat,lon
EMWD - San Jacinto RWRF NEM,33.798547,-117.016588
EMWD - Sun City RWRF,33.696146,-117.218621
Enerparc CA1 LLC,36.831667,-121.404167
"Enerparc CA2, LLC",39.69898,-122.175583
"Ennis Solar, LLC",35.421964,-78.721683
"Eros Solar, LLC",35.16513,-78.08025
ESA Albemarle NC Solar,35.39606,-80.123649
"ESA Boston Solar, LLC",36.486008,-78.921771
"ESA Buies Creek, LLC",35.41424,-78.71433
ESA Four Oaks 2 NC LLC,35.416104,-78.409231
"ESA Hamlet NC , LLC",34.879581,-79.673277
ESA Selma,35.5262,-78.2898
ESA Smithfield,35.48835,-78.319751
"ESCA-LL-COLTON, LLC",34.03925,-117.36056
Estill Solar,32.763843,-81.242151
Estill Solar II,32.727842,-81.253453
Estrella Solar & Storage,34.807789,-118.316504
Everett PV1,35.821137,-77.30957
"Everetts Wildcat Solar, LLC",35.847222,-77.111389
Exeter Solar,36.2675,-119.128581
Expressway Solar A,34.582222,-117.341667
Expressway Solar B,34.583333,-117.340278
Expressway Solar C2,34.584444,-117.341389
"Exum Farm Solar, LLC",35.370441,-77.4549
FAA NorCal TRACON,38.559533,-121.257556
Facile Solar,36.098889,-79.493889
Fairmont-FLS 100,34.52,-79.13
Faison Solar,35.069722,-78.116111
Farmersville,36.19,-119.12
Farrington Farm,35.832778,-79.025
Fern Solar LLC,36.003272,-77.696443
Firebaugh-CCS-PV-1,36.734667,-120.612773
Firestone Walker Brewery - Phase 1,35.595877,-120.694306
Fisher Solar Farm - NC,35.24125,-80.03465
Five Forks Solar,36.515544,-78.033704
Five Points Solar Park,36.386944,-120.236667
Five Points Solar Station,36.400278,-120.103333
Flash Solar,35.758056,-81.229444
Flat Meeks PV 1,35.806667,-77.270556
Flatwood Farm,35.588,-79.0323
Flemming Solar Center LLC,35.668889,-77.383889
"Flint Hill Solar, LLC",35.40274,-79.55308
Flowers Solar LLC,35.41218,-78.603088
Floyd Road Solar Farm,36.50592,-77.677474
"FLS Solar 170, LLC",34.6,-78.97
"FLS Solar 200, LLC",34.581944,-78.94
FLS Solar 230 (Warren),35.016111,-77.821944
Folsom SP and CSP Sacramento,38.687,-121.16
Foothill Sanitary Landfill - Solar Array,38.042352,-120.933761
"Forever 21 Retail, Inc.",34.071389,-118.196111
Fort Bragg - Camp Mackall PV BESS System,35.029,-79.485
Fox Creek Solar,36.126912,-78.273106
Foxfire Solar Farm,35.220556,-79.551944
Francisco St. Solar,33.8482,-118.3055
Franklin Solar 2,36.126944,-78.1525
"Franklin Solar, LLC",36.0975,-78.167778
Franklinton Solar,36.08113,-78.35384
Freedom Solar,34.287,-79.148
Freemont Solar Center LLC,35.427587,-80.997219
Freeway Springs,33.892614,-118.037564
"Freight Line Solar, LLC",34.96885,-77.76236
Fremont - Kato Rd,37.479188,-121.932263
Fremont CA AutoFactory,37.49254,-121.94458
Fremont Farm,35.531944,-77.969167
Fremont Farm LLC,35.531944,-77.969167
Fresno Community Solar,36.696,-119.885
Fresno Solar,36.616846,-120.105144
Frontier HS Solar Project,35.41824,-119.14888
Frontier Solar LLC,37.379919,-121.130661
FRV SI Transport Solar LP,38.4869,-121.3911
FTF-PackingShed,36.546901,-119.430179
Fuquay Farm,35.564354,-78.710261
Gaines Solar,34.192353,-80.218533
"Gainey Solar, LLC",34.499,-78.653
Gamble Solar,35.348375,-81.817362
Gap Pacific Distribution Center,36.781606,-119.706911
Garnet Solar Generation Station I LLC,33.8906,-116.5431
Gary Solar,34.199094,-80.221678
Garysburg Solar,36.468,-77.592
Gaskell West 1 Solar Facility,34.832786,-118.563578
Gaston II,33.778378,-81.110251
Gaston Solar,36.514722,-77.656111
Gaston Solar I - SC,33.774657,-81.110546
Gaston Solar Power Plant,35.3224,-81.1343
Gastonia Solar Center,35.229033,-81.189078
Gates Solar LLC,36.450833,-76.803611
Gates Solar Station,36.176389,-120.114167
Genentech Vacaville Meter #1,38.390756,-121.94777
"Germantown Solar, LLC",36.24634,-80.25463
Giffen,36.530278,-120.316111
Giffen Solar Park,36.544722,-120.316111
Gilead,35.198537,-80.013247
Gilead Foster City Solar Project,37.568597,-122.27797
Gilead Oceanside Solar Project,33.213138,-117.304166
