owner,customer,ssi,method
Dynegy -Moss Landing LLC,Vistra Group,False,rule
Consumers Energy Co - (MI),CMS Energy Group,False,rule
"Parkway Generation Operating, LLC",Parkway Generation,False,rule
Entergy Corp,Entergy Group,False,rule
Tenaska Oklahoma I LP,Tenaska Group,False,rule
ArcLight Capital Partners LLC,ArcLight Capital Partners,False,rule
"Edgewater Generation, LLC",CPV / Competitive Power Ventures,False,rule
"Astoria Generating Company, L.P.","Astoria Generating Company, L.P.",False,unmatched - passthrough
Entergy Mississippi LLC,Entergy Group,False,rule
Midwest Generations EME LLC,Midwest Generations EME LLC,False,unmatched - passthrough
"Chalk Point Power, LLC",GenOn Holdings,False,rule
Cricket Valley Energy Holdings LLC,Advanced Power / Doswell,False,rule
Olin Blue Cube Operations,Industrial Self-Generation (various),False,rule
"CPV Three Rivers, LLC",CPV / Competitive Power Ventures,False,rule
Evergy Metro,Evergy,True,rule
"Jackson Generation, LLC",CPV / Competitive Power Ventures,False,rule
NextEra Energy Point Beach LLC,NextEra Energy Resources,True,rule
"Jack County Power, LLC","Jack County Power, LLC",False,unmatched - passthrough
Capital Power Corporation,Capital Power Corporation,True,rule
DTE Electric Company,DTE Energy,True,rule
Dynegy Kendall Energy LLC,Vistra Group,False,rule
PacifiCorp,Pacificorp,True,rule
CCI Roseton LLC,CCI Roseton LLC,False,unmatched - passthrough
NextEra Energy Seabrook LLC,NextEra Energy Resources,True,rule
"Bowline, LLC","Bowline, LLC",False,unmatched - passthrough
Union Electric Co - (MO),Ameren Energy,True,rule
Cornerstone Generation,NRG Energy Group,False,rule
We Power,We Power,False,unmatched - passthrough
New Athens Generating Company LLC,New Athens Generating Company LLC,False,unmatched - passthrough
"East Kentucky Power Coop, Inc","American Electric Power Company, Inc.",True,rule
Oneta Power LLC,Oneta Power LLC,False,unmatched - passthrough
"South Field Energy, LLC","South Field Energy, LLC",False,unmatched - passthrough
Energy Northwest- Columbia,Energy Northwest- Columbia,False,unmatched - passthrough
"CPV Fairview, LLC",CPV / Competitive Power Ventures,False,rule
"Hummel Station, LLC","Hummel Station, LLC",False,unmatched - passthrough
Louisville Gas & Electric Co,PPL Group,False,rule
Oglethorpe Power Corporation,Oglethorpe Power,False,rule
Northern States Power Co - Minnesota,Xcel Energy Group,False,rule
Essential Power Operating Services LLC,Essential Power Operating Services LLC,False,unmatched - passthrough
Seminole Electric Cooperative Inc,Seminole Electric Cooperative,False,rule
Cooperative Energy,Electric Cooperative (various),False,rule
Deer Park Energy Center,Deer Park Energy Center,False,unmatched - passthrough
KOSPO USA,KOSPO USA,False,unmatched - passthrough
Northern Indiana Pub Serv Co,NiSource Group,False,rule
Mississippi Power Co,Southern Company Group,False,rule
Vistra Energy,Vistra Group,False,rule
CXA La Paloma LLC,CXA La Paloma LLC,False,unmatched - passthrough
Calpine Bethlehem LLC,Calpine Group,False,rule
Riverside Generating Co LLC,Riverside Generating Co LLC,False,unmatched - passthrough
"DGC Westmoreland, LLC","DGC Westmoreland, LLC",False,unmatched - passthrough
Old Dominion Electric Coop,Electric Cooperative (various),False,rule
City of San Antonio - (TX),CPS Energy,False,rule
Moxie Freedom LLC,Moxie Freedom LLC,False,unmatched - passthrough
Tenaska Georgia I LP,Tenaska Group,False,rule
Calpine Mid-Atlantic Generation LLC,Calpine Group,False,rule
Intermountain Power Agency,Intermountain Power Agency,False,unmatched - passthrough
"Guadalupe Peaking Energy Center, LLC","Guadalupe Peaking Energy Center, LLC",False,unmatched - passthrough
Aurora Generation LLC,Aurora Generation LLC,False,unmatched - passthrough
Dow Chemical Co,Industrial Self-Generation (various),False,rule
Southwestern Public Service Co,"American Electric Power Company, Inc.",True,rule
Brazos Valley Energy,Brazos Valley Energy,False,unmatched - passthrough
"Associated Electric Coop, Inc",Associated Electric Cooperative,False,rule
Oregon Clean Energy Center,Oregon Clean Energy Center,False,unmatched - passthrough
Shady Hills Power Co LLC,Shady Hills Power Co LLC,False,unmatched - passthrough
Southern California Edison Co,Edison International Group,False,rule
Freestone Power Generation LLC,Freestone Power Generation LLC,False,unmatched - passthrough
"Hickory Run Energy, LLC","Hickory Run Energy, LLC",False,unmatched - passthrough
Great Prairie Wind LLC,Great Prairie Wind LLC,False,unmatched - passthrough
Tenaska Virginia I LP,Tenaska Group,False,rule
Southwestern Electric Power Co,"American Electric Power Company, Inc.",True,rule
Zion Energy LLC,Zion Energy LLC,False,unmatched - passthrough
Oleander Holdings LLC ,Oleander Holdings LLC,False,unmatched - passthrough
"Hays Energy, LLC","Hays Energy, LLC",False,unmatched - passthrough
Broad River Energy LLC,Broad River Energy LLC,False,unmatched - passthrough
Rolling Hills Generating LLC,Rolling Hills Generating LLC,False,unmatched - passthrough
"JERA Power Linden, LLC","JERA Power Linden, LLC",False,unmatched - passthrough
"Clean Energy Future-Lordstown, LLC","Clean Energy Future-Lordstown, LLC",False,unmatched - passthrough
"MRP Generation Holdings, LLC","MRP Generation Holdings, LLC",False,unmatched - passthrough
"Mountain Creek Power, LLC","Mountain Creek Power, LLC",False,unmatched - passthrough
Public Service Co of Oklahoma,"American Electric Power Company, Inc.",True,rule
Delta Energy Center LLC,Delta Energy Center LLC,False,unmatched - passthrough
Tanaska Grimes Partners LP,Tanaska Grimes Partners LP,False,unmatched - passthrough
"Tenaska Rusk Partners, LP",Tenaska Group,False,rule
