site,year,month_start,signature_final,confidence,D,score,value_usd,value_usd_quick,rec_pct
Oberon Solar Project,2024,2024-05-01,BOS_INTERMITTENT,MEDIUM,0.42692519909778626,0.5730748009022137,1010786.1567548272,979403.958378631,0.7
Fighting Jays Solar Project,2024,2024-09-01,SOILING,MEDIUM,0.5573626405320111,0.4426373594679889,1006482.1383562901,982371.3651523867,0.85
"Maverick Solar, LLC",2022,2022-04-01,OUTAGE_FULL,HIGH,0.7669008065613441,0.23309919343865595,1004089.0619287819,986492.4972513691,0.9
Samson Solar Energy III LLC,2024,2024-09-01,SOILING,HIGH,0.6960148508884013,0.3039851491115987,1000872.1439029968,981579.9999999999,0.85
Delilah Solar Energy LLC,2023,2023-05-01,UNATTRIBUTED,LOW,1.0,0.0,992187.6186895508,0.0,0.35
"ANSON Solar Center, LLC",2024,2024-06-01,BOS_INTERMITTENT,HIGH,0.6859878985004744,0.3140121014995256,990040.3712249021,970683.5292682925,0.7
Buckthorn Westex,2019,2019-03-01,OUTAGE_FULL,MEDIUM,0.8559312158794707,0.14406878412052923,990013.8182533818,974440.1964705882,0.9
Aktina Solar,2022,2022-07-01,UNATTRIBUTED,LOW,0.4664474672096559,0.5335525327903441,987418.4447296773,0.0,0.35
Aquamarine,2024,2024-02-01,OUTAGE_FULL,HIGH,0.7795552296585451,0.22044477034145496,976473.8263586911,959634.2123893807,0.9
East Line Solar,2022,2022-04-01,OUTAGE_FULL,HIGH,0.9844802980008384,0.015519701999161615,974768.160300979,961409.1428628423,0.9
Misae Solar,2025,2025-03-01,BOS_INTERMITTENT,HIGH,0.6102203779684432,0.38977962203155686,967041.0967437389,945837.8063747394,0.7
Holstein 1 Solar Farm,2025,2025-05-01,SOILING,MEDIUM,0.5014246519391958,0.4985753480608041,962168.5029642512,936616.2439024389,0.85
Topaz Solar Farm,2026,2026-03-01,UNATTRIBUTED,LOW,0.5316155503154827,0.46838444968451737,961029.6177932889,936920.6599431457,0.35
"Eland Solar & Storage Center, Phase 1 Hy",2025,2025-04-01,UNATTRIBUTED,LOW,0.7538800634247735,0.2461199365752264,960859.4659689703,0.0,0.35
Phoebe Solar,2019,2019-06-01,UNATTRIBUTED,LOW,0.9050494154709592,0.09495058452904079,960196.2253830878,0.0,0.35
Samson Solar Energy III LLC,2024,2024-05-01,SOILING,HIGH,0.6865527862149816,0.3134472137850184,953919.5622329053,935283.9844720497,0.85
"ANSON Solar Center, LLC",2024,2024-08-01,BOS_INTERMITTENT,HIGH,0.6213554923617359,0.3786445076382641,949334.6263282507,928884.551724138,0.7
Sun Streams 2,2024,2024-03-01,OUTAGE_FULL,HIGH,0.7272406947440746,0.2727593052559254,948954.0901226981,931433.5693379792,0.9
Sandrini Solar 200,2025,2025-07-01,BOS_INTERMITTENT,MEDIUM,0.4824374185963024,0.5175625814036976,945083.0552709801,919023.970881226,0.7
Fighting Jays Solar Project,2022,2022-06-01,UNATTRIBUTED,LOW,1.0,0.0,943047.3631055681,0.0,0.35
Aktina Solar,2023,2023-08-01,UNATTRIBUTED,LOW,0.4576078980440029,0.5423921019559971,941807.4105827794,0.0,0.35
"Old 300 Solar Center, LLC",2025,2025-12-01,SOILING,MEDIUM,0.5573771640283811,0.44262283597161883,937671.7221938235,915209.9075321492,0.85
Delilah Solar Energy LLC,2024,2024-10-01,UNATTRIBUTED,LOW,1.0,0.0,937233.4197912,0.0,0.35
Delilah Solar Energy LLC,2024,2024-05-01,UNATTRIBUTED,LOW,1.0,0.0,936751.5301564209,0.0,0.35
Delilah Solar Energy LLC,2022,2022-08-01,UNATTRIBUTED,LOW,1.0,0.0,930300.6706703152,0.0,0.35
Fighting Jays Solar Project,2025,2025-05-01,SOILING,MEDIUM,0.4510192054997345,0.5489807945002655,925426.2894418748,898184.001583422,0.85
Athos Solar Project,2025,2025-03-01,BOS_INTERMITTENT,MEDIUM,0.48008155085137527,0.5199184491486247,924686.1791075128,899067.8529411765,0.7
Delilah Solar Energy LLC,2024,2024-09-01,UNATTRIBUTED,LOW,1.0,0.0,920263.1841625763,0.0,0.35
Samson Solar Energy III LLC,2024,2024-06-01,SOILING,HIGH,0.5541086516441762,0.44589134835582384,917244.7588546227,895145.7835159103,0.85
"Maverick Solar, LLC",2022,2022-03-01,OUTAGE_FULL,HIGH,0.7946720316722331,0.2053279683277669,915135.6937890168,899649.0084166166,0.9
Fighting Jays Solar Project,2024,2024-10-01,SOILING,MEDIUM,0.49955229224096687,0.5004477077590331,912649.3392181683,888323.7365450554,0.85
Holstein 1 Solar Farm,2025,2025-04-01,SOILING,MEDIUM,0.608991995997999,0.391008004002001,909515.0700712046,889533.75147929,0.85
"Desert Sunlight 300, LLC",2025,2025-03-01,BLOCK_OUTAGE,MEDIUM,0.41140456435915296,0.588595435640847,906073.2658491933,876914.9999999998,0.9
Victory Pass,2025,2025-11-01,OUTAGE_FULL,HIGH,0.7830874991167531,0.21691250088324684,905948.0144166304,890393.9037433155,0.9
Aktina Solar,2023,2023-07-01,UNATTRIBUTED,LOW,0.4428732687215262,0.5571267312784738,905619.237890438,0.0,0.35
Greasewood Solar,2022,2022-10-01,TRACKER,MEDIUM,0.5731895735282642,0.4268104264717359,905439.457987477,884334.1633667019,0.8
Aktina Solar,2022,2022-06-01,UNATTRIBUTED,LOW,0.4377944156691773,0.5622055843308227,896594.0521321937,0.0,0.35
"CA Flats Solar 130, LLC",2024,2024-05-01,SOILING,MEDIUM,0.633941486984906,0.366058513015094,894579.1291519732,875683.076923077,0.85
"ANSON Solar Center, LLC",2024,2024-07-01,BOS_INTERMITTENT,HIGH,0.5990509333239762,0.40094906667602387,894474.0414088403,874504.3423908047,0.7
Mount Signal Solar Farm II,2023,2023-06-01,BLOCK_OUTAGE,HIGH,0.5143530360334811,0.4856469639665189,887387.409965708,864398.1073170733,0.9
Nebula Solar,2024,2024-08-01,OUTAGE_FULL,HIGH,0.7154346052036122,0.2845653947963877,873137.1623451321,856755.4153846153,0.9
Taygete Energy Project LLC,2022,2022-04-01,SOILING,MEDIUM,0.3620195976345538,0.6379804023654462,869323.9748602716,837670.988453304,0.85
Coniglio Solar,2024,2024-04-01,OUTAGE_FULL,HIGH,1.0,0.0,868045.6847477767,856331.4162162163,0.9
