plant_id,plant_name,state,hybrid_reasons
60491,Springbok 3 Solar Farm Hybrid,CA,"pv_same_plant,dc_coupled"
60506,ETT Presidio NaS Battery,TX,rte_gt_1
60518,Stafford Hill Solar Hybrid,VT,"rte_gt_1,pv_same_plant,dc_coupled"
60546,KIUC Kapaia PV and BA Storage Project Hy,HI,pv_same_plant
60561,Cedartown Battery Energy Storage Project,GA,colocated_firming
60562,GMP Solar - Panton Hybrid,VT,"rte_gt_1,pv_same_plant,dc_coupled"
60565,Borrego Springs Energy Storage,CA,rte_gt_1
60566,Pala Energy Storage Yard,CA,rte_gt_1
60567,Ortega Highway Energy Storage,CA,rte_gt_1
60568,Canyon Crest Academy,CA,rte_gt_1
60607,CMEEC - Polaris Park Solar Hybrid,CT,pv_same_plant
60609,CMEEC - Norwich Stott St Solar Hybrid,CT,"rte_gt_1,pv_same_plant"
60654,Townsite Solar Project Hybrid,NV,"colocated_firming,pv_same_plant"
60698,Stanton Energy Reliability Center Hybrid,CA,rte_gt_1
60791,SunAnza,CA,"colocated_firming,pv_same_plant"
60815,Hampshire College Hybrid,MA,pv_same_plant
60906,Mt. Tom Solar Project Hybrid,MA,"pv_same_plant,dc_coupled"
60959,Chocksett Rd Energy Storage Project,MA,rte_gt_1
60964,Apache Solar I,AZ,pv_same_plant
60974,Glendale Battery Energy Storage System,CA,rte_gt_1
60996,Iron Horse Battery Storage Hybrid,AZ,pv_same_plant
61068,AES Lawai Solar Hybrid,HI,"rte_gt_1,pv_same_plant,dc_tight"
61098,Battle Mountain Solar Project,NV,"rte_gt_1,pv_same_plant,dc_coupled"
61107,Vanadium Redox Flow Battery Plant,CA,colocated_firming
61168,"Eland Solar & Storage Center, Phase 1 Hy",CA,pv_same_plant
61169,"Eland Solar & Storage Center, Phase 2 Hy",CA,pv_same_plant
61197,Pima Energy Storage System,AZ,rte_gt_1
61334,Volkman Road Solar Array Hybrid,IN,pv_same_plant
61431,Beacon BESS 1,CA,colocated_firming
61439,Panasonic Carport Solar Hybrid,CO,"rte_gt_1,pv_same_plant"
61446,RE Gaskell West 2 LLC,CA,pv_same_plant
61473,Hopewell Valley High School Hybrid,NJ,"colocated_firming,pv_same_plant"
61552,Fort Detrick Solar PV,MD,"pv_same_plant,dc_coupled"
61647,ENO Paterson Solar,LA,"colocated_firming,pv_same_plant"
61667,Wimauma Solar and Battery Storage,FL,"colocated_firming,pv_same_plant"
61678,Pinal Central Energy Center Hybrid,AZ,"rte_gt_1,pv_same_plant"
61679,Cox Battery Energy Storage,MO,rte_gt_1
61721,Baldwin (CA),CA,rte_gt_1
61730,MA Solar Storage 1 Hybrid,MA,"pv_same_plant,dc_coupled"
61737,Navy Yard Peaker Station,PA,rte_gt_1
61741,Kingsberry Energy Storage System,TX,colocated_firming
61763,Sunshine Gateway Solar Energy Center,FL,pv_same_plant
61795,Pacific Union College BESS,CA,rte_gt_1
61851,Campbell Industrial Park BESS,HI,"rte_gt_1,colocated_firming"
61861,AES ES GILBERT,AZ,rte_gt_1
61901,Redstone Arsenal Hybrid,AL,"rte_gt_1,pv_same_plant"
61956,MCRD Parris Island PV Hybrid,SC,"rte_gt_1,pv_same_plant,dc_coupled"
61990,TAC-Distributed Energy Resource Hybrid,IL,pv_same_plant
61993,Gavilan Community College Solar Project,CA,pv_same_plant
61995,UC Merced Solar Hybrid,CA,"rte_gt_1,pv_same_plant"
62027,Caldwell Wastewater Treatment Plant Hybr,NJ,"colocated_firming,pv_same_plant"
62219,Ashburnham Energy Storage Project,MA,rte_gt_1
62235,Lone Star Solar,SC,"colocated_firming,pv_same_plant,dc_coupled"
62241,NorWest Energy 9 LLC,OR,pv_same_plant
62248,Arrow Canyon Solar Hybrid,NV,"rte_gt_1,pv_same_plant,dc_tight"
62381,GMP Solar/Storage-Milton Hybrid,VT,"rte_gt_1,pv_same_plant"
62382,GMP Solar/Storage-Ferrisburgh Hybrid,VT,"rte_gt_1,pv_same_plant"
62383,GMP Solar/Storage-Essex Hybrid,VT,"rte_gt_1,pv_same_plant"
62441,Kearny Mesa Storage LLC,CA,colocated_firming
62444,Meyersdale Battery,PA,rte_gt_1
62490,Echo River Solar,FL,pv_same_plant
62494,Skeleton Creek Energy Center Hybrid,OK,pv_same_plant
62529,Hale Kuawehi Solar Hybrid,HI,pv_same_plant
62541,Lake Placid Solar Power Plant,FL,"colocated_firming,pv_same_plant,dc_coupled"
62561,"Roadrunner, LLC Hybrid",TX,pv_same_plant
62579,Plainfield Community Solar LLC,MA,"colocated_firming,pv_same_plant"
62617,Searcy Solar Hybrid,AR,"pv_same_plant,dc_coupled"
62652,Happy Hollow CSG Hybrid,MA,"pv_same_plant,dc_tight"
62682,Noland Wastewater Treatment Plant Hybrid,AR,"rte_gt_1,pv_same_plant"
62683,Westside Wastewater Treatment Plant Hybr,AR,"rte_gt_1,pv_same_plant"
62695,CED Northampton Solar LLC Hybrid,MA,"colocated_firming,pv_same_plant"
62745,Wheatridge Hybrid,OR,"pv_same_plant,dc_coupled"
62753,Prospect Storage,TX,rte_gt_1
62839,98th Street Battery Storage Station,NY,rte_gt_1
62856,Marengo Battery Storage LLC,IL,rte_gt_1
62937,Athens BESS,MN,colocated_firming
62968,Syncarpha Tewksbury Hybrid CSG,MA,pv_same_plant
62969,Syncarpha Puddon I Hybrid CSG,MA,pv_same_plant
62970,Syncarpha Puddon II Hybrid CSG,MA,pv_same_plant
